# kernel32.dll API compatibility database
# module,name,introduced,level,strategy,runtime
kernel32,SetThreadDescription,14393,L0,Runtime,Compat_SetThreadDescription
kernel32,GetThreadDescription,14393,L0,Runtime,Compat_GetThreadDescription
kernel32,SetThreadInformation,14393,L2,Runtime,Compat_SetThreadInformation
kernel32,GetThreadInformation,14393,L2,Runtime,Compat_GetThreadInformation
kernel32,VirtualAlloc2,14393,L2,Runtime,Compat_VirtualAlloc2
kernel32,GetSystemTimePreciseAsFileTime,14393,L1,Runtime,Compat_GetSystemTimePreciseAsFileTime
kernel32,GetTickCount64,14393,L1,Runtime,Compat_GetTickCount64
kernel32,CreateFile2,14393,L1,Runtime,Compat_CreateFile2
kernel32,GetFileInformationByHandleEx,14393,L1,Runtime,Compat_GetFileInformationByHandleEx
kernel32,GetFinalPathNameByHandleW,14393,L1,Runtime,Compat_GetFinalPathNameByHandleW
kernel32,QueryFullProcessImageNameW,14393,L1,Runtime,Compat_QueryFullProcessImageNameW
kernel32,AddDllDirectory,14393,L0,Runtime,Compat_AddDllDirectory
kernel32,RemoveDllDirectory,14393,L0,Runtime,Compat_RemoveDllDirectory
kernel32,SetDefaultDllDirectories,14393,L0,Runtime,Compat_SetDefaultDllDirectories
kernel32,GetDpiForWindow,14393,L1,Runtime,Compat_GetDpiForWindow
kernel32,GetDpiForSystem,14393,L1,Runtime,Compat_GetDpiForSystem
kernel32,EnableNonClientDpiScaling,14393,L3,Runtime,Compat_EnableNonClientDpiScaling
kernel32,InitializeConditionVariable,14393,L0,Runtime,Compat_InitializeConditionVariable
kernel32,WakeConditionVariable,14393,L0,Runtime,Compat_WakeConditionVariable
kernel32,WakeAllConditionVariable,14393,L0,Runtime,Compat_WakeAllConditionVariable
kernel32,SleepConditionVariableCS,14393,L0,Runtime,Compat_SleepConditionVariableCS
kernel32,SleepConditionVariableSRW,14393,L0,Runtime,Compat_SleepConditionVariableSRW
kernel32,CreatePseudoConsole,17763,L1,Runtime,Compat_CreatePseudoConsole
kernel32,ResizePseudoConsole,17763,L1,Runtime,Compat_ResizePseudoConsole
kernel32,ClosePseudoConsole,17763,L1,Runtime,Compat_ClosePseudoConsole
kernel32,GetConsoleScreenBufferInfoEx,16299,L1,Runtime,Compat_GetConsoleScreenBufferInfoEx
kernel32,SetConsoleScreenBufferInfoEx,16299,L1,Runtime,Compat_SetConsoleScreenBufferInfoEx
kernel32,GetCurrentConsoleFontEx,16299,L1,Runtime,Compat_GetCurrentConsoleFontEx
kernel32,SetCurrentConsoleFontEx,16299,L1,Runtime,Compat_SetCurrentConsoleFontEx
kernel32,GetConsoleDisplayMode,16299,L1,Runtime,Compat_GetConsoleDisplayMode
kernel32,SetConsoleDisplayMode,16299,L1,Runtime,Compat_SetConsoleDisplayMode
kernel32,IsProcessInJob,14393,L1,Runtime,Compat_IsProcessInJob
kernel32,GetProcessDefaultCpuSetMasks,18362,L1,Runtime,Compat_GetProcessDefaultCpuSetMasks
kernel32,SetProcessDefaultCpuSetMasks,18362,L1,Runtime,Compat_SetProcessDefaultCpuSetMasks
kernel32,GetThreadSelectedCpuSets,18362,L1,Runtime,Compat_GetThreadSelectedCpuSets
kernel32,SetThreadSelectedCpuSets,18362,L1,Runtime,Compat_SetThreadSelectedCpuSets
kernel32,GetStartupInfoW,14393,L1,Runtime,Compat_GetStartupInfoW
kernel32,GetTempPath2W,17763,L1,Runtime,Compat_GetTempPath2W
kernel32,GetTempPath2A,17763,L1,Runtime,Compat_GetTempPath2A
kernel32,GetSystemTimeAsFileTime,14393,L1,Runtime,Compat_GetSystemTimeAsFileTime
kernel32,OpenFileById,14393,L1,Runtime,Compat_OpenFileById
kernel32,SetFileIoOverlappedRange,14393,L1,Runtime,Compat_SetFileIoOverlappedRange
kernel32,CopyFileExW,14393,L1,Runtime,Compat_CopyFileExW
kernel32,MoveFileExW,14393,L1,Runtime,Compat_MoveFileExW
